filename,width,height,class,xmin,ymin,xmax,ymax
clip4--381-_jpg.rf.c0099a02d8d37c74869bd2beacb58720.jpg,416,416,enemy,182,170,208,303
clip4--381-_jpg.rf.c0099a02d8d37c74869bd2beacb58720.jpg,416,416,enemy_head,194,169,204,190
clip4--379-_jpg.rf.1d650acb22f8e3242844b5e9bc7163b2.jpg,416,416,enemy,198,190,230,337
clip4--379-_jpg.rf.1d650acb22f8e3242844b5e9bc7163b2.jpg,416,416,enemy,253,152,299,279
clip4--379-_jpg.rf.1d650acb22f8e3242844b5e9bc7163b2.jpg,416,416,enemy_head,215,190,229,216
clip4--379-_jpg.rf.1d650acb22f8e3242844b5e9bc7163b2.jpg,416,416,enemy_head,270,152,280,174
clip4--417-_jpg.rf.7e4f860d0acf8b4fdd37f4dd6fd74708.jpg,416,416,enemy,202,207,208,233
clip4--417-_jpg.rf.7e4f860d0acf8b4fdd37f4dd6fd74708.jpg,416,416,enemy_head,204,206,207,213
clip4--416-_jpg.rf.e11d1f4acc23d8663ae53cf6f53ce7ad.jpg,416,416,enemy,189,205,194,234
clip4--416-_jpg.rf.e11d1f4acc23d8663ae53cf6f53ce7ad.jpg,416,416,enemy_head,191,206,194,212
clip4--380-_jpg.rf.b91d8733bbd53b8e527748a962c493af.jpg,416,416,enemy,244,158,293,293
clip4--380-_jpg.rf.b91d8733bbd53b8e527748a962c493af.jpg,416,416,enemy_head,261,156,271,178
clip4--396-_jpg.rf.75b151126ca36e8fbc2ebf711d5dcf72.jpg,416,416,enemy,185,189,192,224
clip4--396-_jpg.rf.75b151126ca36e8fbc2ebf711d5dcf72.jpg,416,416,enemy,202,193,211,231
clip4--396-_jpg.rf.75b151126ca36e8fbc2ebf711d5dcf72.jpg,416,416,enemy,208,191,222,243
clip4--396-_jpg.rf.75b151126ca36e8fbc2ebf711d5dcf72.jpg,416,416,enemy_head,204,192,207,201
clip4--396-_jpg.rf.75b151126ca36e8fbc2ebf711d5dcf72.jpg,416,416,enemy_head,210,191,215,200
clip4--396-_jpg.rf.75b151126ca36e8fbc2ebf711d5dcf72.jpg,416,416,enemy_head,187,189,191,198
clip4--398-_jpg.rf.7821eda3dd1a8ccf4b391d0eb35c926e.jpg,416,416,enemy,204,181,214,220
clip4--398-_jpg.rf.7821eda3dd1a8ccf4b391d0eb35c926e.jpg,416,416,enemy,190,182,199,215
clip4--398-_jpg.rf.7821eda3dd1a8ccf4b391d0eb35c926e.jpg,416,416,enemy_head,193,182,197,191
clip4--398-_jpg.rf.7821eda3dd1a8ccf4b391d0eb35c926e.jpg,416,416,enemy_head,207,182,210,191
clip4--398-_jpg.rf.7821eda3dd1a8ccf4b391d0eb35c926e.jpg,416,416,enemy_head,215,184,219,191
clip4--391-_jpg.rf.4f0203e919121665c36d8b4a1d92611f.jpg,416,416,enemy,196,187,205,226
clip4--391-_jpg.rf.4f0203e919121665c36d8b4a1d92611f.jpg,416,416,enemy,176,191,185,224
clip4--391-_jpg.rf.4f0203e919121665c36d8b4a1d92611f.jpg,416,416,enemy_head,178,191,182,198
clip4--391-_jpg.rf.4f0203e919121665c36d8b4a1d92611f.jpg,416,416,enemy_head,199,188,202,195
clip4--38-_jpg.rf.05aee3075466dad795cb1533f0f5bbfc.jpg,416,416,enemy,189,189,195,215
clip4--38-_jpg.rf.05aee3075466dad795cb1533f0f5bbfc.jpg,416,416,enemy_head,190,189,193,193
clip4--422-_jpg.rf.777df8fd4e336d1de89fbb837a9809a8.jpg,416,416,enemy,207,201,217,252
clip4--422-_jpg.rf.777df8fd4e336d1de89fbb837a9809a8.jpg,416,416,enemy_head,210,201,213,210
clip4--408-_jpg.rf.3e846527566dd7ff647f592673d663f7.jpg,416,416,enemy,200,182,217,247
clip4--408-_jpg.rf.3e846527566dd7ff647f592673d663f7.jpg,416,416,enemy_head,208,184,213,193
clip4--389-_jpg.rf.ef3b2f3638e7c0e00943e8189e85dfc9.jpg,416,416,enemy,165,189,175,229
clip4--389-_jpg.rf.ef3b2f3638e7c0e00943e8189e85dfc9.jpg,416,416,enemy,147,188,156,239
clip4--389-_jpg.rf.ef3b2f3638e7c0e00943e8189e85dfc9.jpg,416,416,enemy_head,168,188,172,194
clip4--389-_jpg.rf.ef3b2f3638e7c0e00943e8189e85dfc9.jpg,416,416,enemy_head,148,188,153,197
clip4--404-_jpg.rf.df0ff4910bd61d86b99f81f73ea8d3e7.jpg,416,416,enemy,204,197,223,258
clip4--404-_jpg.rf.df0ff4910bd61d86b99f81f73ea8d3e7.jpg,416,416,enemy_head,211,197,216,208
clip4--39-_jpg.rf.0da42655022eb7484eb05dd948718c0a.jpg,416,416,enemy,198,206,203,227
clip4--39-_jpg.rf.0da42655022eb7484eb05dd948718c0a.jpg,416,416,enemy_head,198,205,202,211
clip4--397-_jpg.rf.8c90ca2b0010dc2f324cd083f84d81e6.jpg,416,416,enemy,189,183,197,215
clip4--397-_jpg.rf.8c90ca2b0010dc2f324cd083f84d81e6.jpg,416,416,enemy,206,181,213,219
clip4--397-_jpg.rf.8c90ca2b0010dc2f324cd083f84d81e6.jpg,416,416,enemy,213,177,225,232
clip4--397-_jpg.rf.8c90ca2b0010dc2f324cd083f84d81e6.jpg,416,416,enemy_head,209,182,212,188
clip4--397-_jpg.rf.8c90ca2b0010dc2f324cd083f84d81e6.jpg,416,416,enemy_head,193,183,196,189
clip4--397-_jpg.rf.8c90ca2b0010dc2f324cd083f84d81e6.jpg,416,416,enemy_head,217,178,221,186
clip4--419-_jpg.rf.bcdde86d638fcc03780ef925f15edf04.jpg,416,416,enemy,202,204,209,231
clip4--419-_jpg.rf.bcdde86d638fcc03780ef925f15edf04.jpg,416,416,enemy_head,204,204,207,212
clip4--412-_jpg.rf.68c75d74e5f03356073bef35ecca06a7.jpg,416,416,enemy,199,201,204,235
clip4--412-_jpg.rf.68c75d74e5f03356073bef35ecca06a7.jpg,416,416,enemy_head,199,201,202,208
clip4--395-_jpg.rf.828803fe91e774cb13d2baaae992b885.jpg,416,416,enemy,173,185,179,215
clip4--395-_jpg.rf.828803fe91e774cb13d2baaae992b885.jpg,416,416,enemy,190,183,198,224
clip4--395-_jpg.rf.828803fe91e774cb13d2baaae992b885.jpg,416,416,enemy,200,181,210,234
clip4--395-_jpg.rf.828803fe91e774cb13d2baaae992b885.jpg,416,416,enemy_head,203,181,208,190
clip4--395-_jpg.rf.828803fe91e774cb13d2baaae992b885.jpg,416,416,enemy_head,192,184,196,191
clip4--395-_jpg.rf.828803fe91e774cb13d2baaae992b885.jpg,416,416,enemy_head,174,185,177,191
clip4--454-_jpg.rf.b9ae9dee182ca788acbb2036fdc5504d.jpg,416,416,enemy,179,193,224,286
clip4--454-_jpg.rf.b9ae9dee182ca788acbb2036fdc5504d.jpg,416,416,enemy_head,214,195,223,212
clip4--420-_jpg.rf.1b534f53cd66d14e2088037c79056923.jpg,416,416,enemy,244,196,253,243
clip4--420-_jpg.rf.1b534f53cd66d14e2088037c79056923.jpg,416,416,enemy_head,248,197,252,204
clip4--418-_jpg.rf.4797782c60369b1acd7c3a416b074b47.jpg,416,416,enemy,208,202,214,229
clip4--418-_jpg.rf.4797782c60369b1acd7c3a416b074b47.jpg,416,416,enemy_head,210,203,213,210
clip4--45-_jpg.rf.836f286bbd5926ee48c15e5564b485c9.jpg,416,416,enemy,201,205,208,228
clip4--45-_jpg.rf.836f286bbd5926ee48c15e5564b485c9.jpg,416,416,enemy_head,203,206,206,210
clip4--382-_jpg.rf.1430a0dd8f8a71136904c8192d94acd0.jpg,416,416,enemy,190,182,227,300
clip4--382-_jpg.rf.1430a0dd8f8a71136904c8192d94acd0.jpg,416,416,enemy_head,201,184,209,201
clip4--399-_jpg.rf.01a649ff350c6079be684cce2c1dffab.jpg,416,416,enemy,193,188,199,219
clip4--399-_jpg.rf.01a649ff350c6079be684cce2c1dffab.jpg,416,416,enemy,205,192,213,222
clip4--399-_jpg.rf.01a649ff350c6079be684cce2c1dffab.jpg,416,416,enemy_head,195,187,198,194
clip4--399-_jpg.rf.01a649ff350c6079be684cce2c1dffab.jpg,416,416,enemy_head,208,192,211,197
clip4--452-_jpg.rf.8b179a2492d18db14c8fc69ce2827682.jpg,416,416,enemy,192,186,232,287
clip4--452-_jpg.rf.8b179a2492d18db14c8fc69ce2827682.jpg,416,416,enemy_head,218,190,231,211
clip4--410-_jpg.rf.be5d3a0c6ceb5c97b6316432d9385fd3.jpg,416,416,enemy,184,198,213,301
clip4--410-_jpg.rf.be5d3a0c6ceb5c97b6316432d9385fd3.jpg,416,416,enemy_head,190,197,203,214
clip4--402-_jpg.rf.2fe2401e79f56fff447f443e90853ac1.jpg,416,416,enemy,238,183,250,236
clip4--402-_jpg.rf.2fe2401e79f56fff447f443e90853ac1.jpg,416,416,enemy_head,244,183,249,192
clip4--384-_jpg.rf.307906bce19fed8d599c3e9e9d6efa5c.jpg,416,416,enemy,258,228,267,269
clip4--384-_jpg.rf.307906bce19fed8d599c3e9e9d6efa5c.jpg,416,416,enemy,247,226,254,255
clip4--384-_jpg.rf.307906bce19fed8d599c3e9e9d6efa5c.jpg,416,416,enemy,221,227,226,262
clip4--384-_jpg.rf.307906bce19fed8d599c3e9e9d6efa5c.jpg,416,416,enemy,224,228,229,259
clip4--384-_jpg.rf.307906bce19fed8d599c3e9e9d6efa5c.jpg,416,416,enemy,236,228,243,263
